Station,Product,Quantity,Start Time,End Time
7,353192205,1200,22.01.2018 22:37:45,22.01.2018 23:34:54
7,353192205,2049,22.01.2018 23:34:54,23.01.2018 01:12:28
7,353192205,2400,23.01.2018 05:36:28,23.01.2018 07:30:45
7,561509010,806,23.01.2018 11:17:25,23.01.2018 12:11:09
7,561509020,806,23.01.2018 12:26:09,23.01.2018 13:19:53
7,561509010,806,23.01.2018 13:34:53,23.01.2018 14:28:37
7,561509020,806,23.01.2018 14:43:37,23.01.2018 15:37:21
7,561509010,806,23.01.2018 17:31:06,23.01.2018 18:24:50
7,561509010,806,23.01.2018 18:24:50,23.01.2018 19:18:34
2,353222513,3500,20.01.2018 13:40:00,20.01.2018 17:50:00
2,353222513,4000,20.01.2018 17:50:00,20.01.2018 22:35:42
2,353244707,3000,20.01.2018 23:05:42,21.01.2018 02:13:12
2,387797503,2800,20.01.2018 08:00:00,20.01.2018 11:53:20
2,353244707,3000,21.01.2018 02:13:12,21.01.2018 05:20:42
2,353222513,3500,21.01.2018 05:50:42,21.01.2018 10:00:42
2,387796199,4000,20.01.2018 12:23:20,20.01.2018 17:09:02
2,387797503,2800,20.01.2018 17:39:02,20.01.2018 21:32:22
2,353222513,3500,21.01.2018 10:00:42,21.01.2018 14:10:42
2,353222513,4000,21.01.2018 14:10:42,21.01.2018 18:56:25
2,A03889801,1700,21.01.2018 19:26:25,21.01.2018 22:16:25
2,353244707,1800,21.01.2018 22:46:25,22.01.2018 00:38:55
2,387797139,645,22.01.2018 01:08:55,22.01.2018 02:02:40
2,387797139,645,22.01.2018 02:02:40,22.01.2018 02:56:25
2,387797138,645,22.01.2018 03:10:25,22.01.2018 04:04:10
2,387797133,645,22.01.2018 04:18:10,22.01.2018 05:11:55
2,387307399,1380,22.01.2018 05:41:55,22.01.2018 07:36:55
2,A03890004,538,22.01.2018 08:06:55,22.01.2018 09:00:43
2,A03969301,538,22.01.2018 09:14:43,22.01.2018 10:08:31
2,A03890004,538,22.01.2018 10:22:31,22.01.2018 11:16:19
2,387797136,1000,22.01.2018 11:46:19,22.01.2018 13:09:39
2,387797136,1000,22.01.2018 13:09:39,22.01.2018 14:32:59
2,387307399,1380,22.01.2018 15:02:59,22.01.2018 16:57:59
2,A03889801,1800,22.01.2018 17:27:59,22.01.2018 20:27:59
2,353244713,1800,22.01.2018 20:57:59,22.01.2018 22:50:29
2,387797133,645,22.01.2018 23:20:29,23.01.2018 00:14:14
2,A03889801,1800,23.01.2018 00:44:14,23.01.2018 03:44:14
2,387797133,645,23.01.2018 04:14:14,23.01.2018 05:07:59
2,387796925,1200,23.01.2018 05:36:59,23.01.2018 07:16:59
2,387796199,889,23.01.2018 07:46:59,23.01.2018 08:50:29
2,387960426,800,23.01.2018 09:20:29,23.01.2018 10:27:09
2,A03890004,538,23.01.2018 10:57:09,23.01.2018 11:50:57
2,A03890004,538,23.01.2018 11:50:57,23.01.2018 12:44:45
2,387796299,753,23.01.2018 13:14:45,23.01.2018 14:08:32
5,353241502,4000,20.01.2018 08:00:00,20.01.2018 12:26:40
5,353241603,6500,20.01.2018 12:56:40,20.01.2018 19:19:01
5,353241603,5600,20.01.2018 19:19:01,21.01.2018 00:48:25
5,353241604,5000,21.01.2018 01:17:25,21.01.2018 06:11:32
5,353241604,6300,21.01.2018 06:11:32,21.01.2018 12:22:08
5,353241502,4000,21.01.2018 12:52:08,21.01.2018 17:18:48
5,353241502,4000,21.01.2018 17:18:48,21.01.2018 21:45:28
5,353219583,3000,21.01.2018 22:15:28,22.01.2018 01:11:56
5,353219583,1450,22.01.2018 01:11:56,22.01.2018 02:37:14
5,353219585,914,22.01.2018 02:51:14,22.01.2018 03:45:00
5,A07296804,2800,22.01.2018 04:15:00,22.01.2018 07:35:00
5,353241603,1000,22.01.2018 08:05:00,22.01.2018 09:03:49
5,353241603,2500,22.01.2018 09:03:49,22.01.2018 11:30:52
5,353219583,1505,22.01.2018 12:00:52,22.01.2018 13:29:24
5,A02469202,1500,22.01.2018 13:59:24,22.01.2018 16:29:24
5,353241502,1380,22.01.2018 16:59:24,22.01.2018 18:31:24
4,387384202,1028,20.01.2018 22:02:22,20.01.2018 23:28:02
4,561609243,1024,20.01.2018 23:58:02,21.01.2018 02:24:20
4,561609244,1024,21.01.2018 02:28:20,21.01.2018 04:54:37
4,387251599,900,21.01.2018 05:24:37,21.01.2018 06:39:37
4,561609243,1024,21.01.2018 07:09:37,21.01.2018 09:35:54
4,387251599,900,21.01.2018 10:05:54,21.01.2018 11:20:54
4,387384202,1028,21.01.2018 11:50:54,21.01.2018 13:16:34
4,387463799,645,21.01.2018 13:46:34,21.01.2018 14:40:19
