Lp;Kod;szt;Termin
146;561442509;1250;24.01.2018 06:00:00
147;561442510;1000;26.01.2018 06:00:00
148;561442511;1000;23.01.2018 06:00:00
149;561442511;1000;24.01.2018 06:00:00
150;561442512;1000;26.01.2018 06:00:00
151;561492801;3000;26.01.2018 06:00:00
152;561492801;2900;27.01.2018 06:00:00
153;561509010;806;25.01.2018 06:00:00
154;561509010;806;26.01.2018 06:00:00
155;561509020;806;25.01.2018 06:00:00
156;561575600;5500;23.01.2018 06:00:00
157;561575600;6000;25.01.2018 06:00:00
158;561575600;1935;26.01.2018 06:00:00
159;561609101;6000;23.01.2018 06:00:00
160;561609101;6000;24.01.2018 06:00:00
161;561609101;5500;26.01.2018 06:00:00
162;561609101;5000;27.01.2018 06:00:00
163;561609243;1024;23.01.2018 06:00:00
164;561609243;1024;25.01.2018 06:00:00
165;561609243;1280;26.01.2018 06:00:00
166;561609244;1024;23.01.2018 06:00:00
167;561609244;1024;25.01.2018 06:00:00
168;561609244;1147;26.01.2018 06:00:00
169;561609247;376;24.01.2018 06:00:00
170;561609248;376;24.01.2018 06:00:00
171;561609248;376;25.01.2018 06:00:00
172;A00622706;1800;26.01.2018 06:00:00
173;A00622706;606;27.01.2018 06:00:00
174;A00623003;1600;27.01.2018 06:00:00
175;A01354602;2220;26.01.2018 06:00:00
176;A01354702;3000;26.01.2018 06:00:00
177;A02138501;3000;23.01.2018 06:00:00
178;A02138501;2600;27.01.2018 06:00:00
179;A02469202;1500;27.01.2018 06:00:00
180;A03381401;13000;24.01.2018 06:00:00
181;A03381401;20000;25.01.2018 06:00:00
182;A03381401;16000;27.01.2018 06:00:00
183;A03889801;1700;24.01.2018 06:00:00
184;A03889801;1800;26.01.2018 06:00:00
185;A03890004;538;24.01.2018 06:00:00
186;A03890004;538;26.01.2018 06:00:00
187;A03969301;538;24.01.2018 06:00:00
188;A04196201;3500;23.01.2018 06:00:00
189;A04212903;3200;26.01.2018 06:00:00
190;A04212904;1806;23.01.2018 06:00:00
191;A05758601;1530;24.01.2018 06:00:00
192;A05758601;2590;26.01.2018 06:00:00
193;A06924601;2200;26.01.2018 06:00:00
194;A07296804;2800;26.01.2018 06:00:00
195;A07537701;1000;23.01.2018 06:00:00
196;A07537701;1000;27.01.2018 06:00:00
197;A07537703;4000;23.01.2018 06:00:00
198;A07537703;3000;27.01.2018 06:00:00
